,Pclass,Sex,Age,Fare,Embarked,Title,IsAlone,Survived
0,3,0,22,7.25,0,1,0,0
1,1,1,38,71.2833,1,3,0,1
2,3,1,26,7.925,0,2,1,1
3,1,1,35,53.1,0,3,0,1
4,3,0,35,8.05,0,1,1,0
5,3,0,25,8.4583,2,1,1,0
6,1,0,54,51.8625,0,1,1,0
7,3,0,2,21.075,0,4,0,0
8,3,1,27,11.1333,0,3,0,1
9,2,1,14,30.0708,1,3,0,1
10,3,1,4,16.7,0,2,0,1
11,1,1,58,26.55,0,2,1,1
12,3,0,20,8.05,0,1,1,0
13,3,0,39,31.275,0,1,0,0
14,3,1,14,7.8542,0,2,1,0
15,2,1,55,16.0,0,3,1,1
16,3,0,2,29.125,2,4,0,0
17,2,0,30,13.0,0,1,1,1
18,3,1,31,18.0,0,3,0,0
19,3,1,21,7.225,1,3,1,1
20,2,0,35,26.0,0,1,1,0
21,2,0,34,13.0,0,1,1,1
22,3,1,15,8.0292,2,2,1,1
23,1,0,28,35.5,0,1,1,1
24,3,1,8,21.075,0,2,0,0
25,3,1,38,31.3875,0,3,0,1
26,3,0,25,7.225,1,1,1,0
27,1,0,19,263.0,0,1,0,0
28,3,1,21,7.8792,2,2,1,1
29,3,0,25,7.8958,0,1,1,0
30,1,0,40,27.7208,1,5,1,0
31,1,1,35,146.5208,1,3,0,1
32,3,1,21,7.75,2,2,1,1
33,2,0,66,10.5,0,1,1,0
34,1,0,28,82.1708,1,1,0,0
35,1,0,42,52.0,0,1,0,0
36,3,0,25,7.2292,1,1,1,1
37,3,0,21,8.05,0,1,1,0
38,3,1,18,18.0,0,2,0,0
39,3,1,14,11.2417,1,2,0,1
40,3,1,40,9.475,0,3,0,0
41,2,1,27,21.0,0,3,0,0
42,3,0,25,7.8958,1,1,1,0
43,2,1,3,41.5792,1,2,0,1
44,3,1,19,7.8792,2,2,1,1
45,3,0,25,8.05,0,1,1,0
46,3,0,25,15.5,2,1,0,0
47,3,1,21,7.75,2,2,1,1
48,3,0,25,21.6792,1,1,0,0
49,3,1,18,17.8,0,3,0,0
50,3,0,7,39.6875,0,4,0,0
51,3,0,21,7.8,0,1,1,0
